issue_key,issue_inicio,issue_fin,release_name,release_quarter,release_squad,release_tribu
PROJ-10054,2025-08-20,2025-11-19,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10055,2025-04-08,2025-11-09,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10056,2025-09-22,2025-10-14,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10057,2025-12-10,2025-12-23,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10058,2025-10-26,2025-12-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10059,2025-02-13,2025-06-07,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10060,2025-03-03,2025-08-26,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10061,2025-10-08,2025-12-17,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10062,2025-07-14,2025-12-09,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10063,2025-07-17,2025-08-06,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10064,2025-04-26,2025-12-31,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10065,2025-08-25,2025-10-03,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10066,2025-05-26,2025-07-27,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10067,2025-10-30,2025-12-20,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10068,2025-08-21,2025-10-23,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10069,2025-01-08,2025-02-21,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10070,2025-12-08,2025-12-28,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10071,2025-04-03,2025-04-26,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10072,2025-12-07,2025-12-21,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10073,2025-02-03,2025-11-14,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10074,2025-11-13,2025-11-17,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10075,2025-10-25,2025-11-06,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10076,2025-09-14,2025-12-15,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10077,2025-03-06,2025-06-17,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10078,2025-12-05,2025-12-26,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10079,2025-12-27,2025-12-31,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10080,2025-09-25,2025-10-15,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10081,2025-05-02,2025-10-04,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10082,2025-09-10,2025-11-21,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10083,2025-12-16,2025-12-28,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10084,2025-02-16,2025-05-24,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10085,2025-01-25,2025-06-06,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10086,2025-08-17,2025-12-03,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10087,2025-08-17,2025-09-29,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10088,2025-01-28,2025-10-30,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10089,2025-01-23,2025-04-22,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10090,2025-12-18,2025-12-19,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10091,2025-01-28,2025-08-16,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10092,2025-04-19,2025-10-24,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10093,2025-07-29,2025-08-24,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10094,2025-12-30,2025-12-31,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10095,2025-11-01,2025-12-17,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10096,2025-03-15,2025-04-21,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10097,2025-09-13,2025-12-06,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10098,2025-06-14,2025-11-21,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10099,2025-12-02,2025-12-05,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10100,2025-09-11,2025-09-30,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10101,2025-06-06,2025-10-16,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10102,2025-04-07,2025-06-20,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10103,2025-07-28,2025-10-23,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10104,2025-06-13,2025-08-24,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10105,2025-06-29,2025-08-17,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10106,2025-06-22,2025-11-25,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10107,2025-02-08,2025-02-27,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10108,2025-07-29,2025-08-01,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10109,2025-12-26,2025-12-31,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10110,2025-03-06,2025-08-11,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10111,2025-07-06,2025-08-17,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10112,2025-12-17,2025-12-18,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10113,2025-05-28,2025-05-29,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10114,2025-04-13,2025-10-07,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10115,2025-06-14,2025-12-20,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10116,2025-03-15,2025-07-08,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10117,2025-01-23,2025-09-05,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10118,2025-07-30,2025-08-11,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10119,2025-05-02,2025-05-24,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10120,2025-08-15,2025-11-16,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10121,2025-12-24,2025-12-30,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10122,2025-01-23,2025-08-08,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10123,2025-11-27,2025-12-06,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10124,2025-08-20,2025-09-02,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10125,2025-12-01,2025-12-13,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10126,2025-02-16,2025-09-25,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10127,2025-08-13,2025-12-07,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10128,2025-08-29,2025-09-14,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10129,2025-09-13,2025-12-23,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10130,2025-12-30,2025-12-30,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10131,2025-09-18,2025-11-18,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10132,2025-04-14,2025-09-14,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10133,2025-09-18,2025-11-16,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10134,2025-05-03,2025-05-31,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10135,2025-06-27,2025-10-26,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10136,2025-02-08,2025-03-09,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10137,2025-03-24,2025-10-07,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10138,2025-02-21,2025-07-06,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10139,2025-12-08,2025-12-14,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10140,2025-04-21,2025-06-21,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10141,2025-11-20,2025-12-17,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10142,2025-04-28,2025-12-22,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10143,2025-07-25,2025-07-26,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10144,2025-11-14,2025-12-11,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10145,2025-12-28,2025-12-29,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10146,2025-04-13,2025-05-28,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10147,2025-10-16,2025-12-09,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10148,2025-04-16,2025-08-04,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10149,2025-03-23,2025-12-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10150,2025-03-21,2025-12-13,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10151,2025-11-28,2025-12-11,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10152,2025-07-09,2025-08-27,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10153,2025-02-05,2025-10-10,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10154,2025-11-19,2025-12-02,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10155,2025-01-02,2025-05-11,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10156,2025-09-05,2025-10-26,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10157,2025-10-15,2025-11-27,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10158,2025-10-02,2025-11-12,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10159,2025-01-04,2025-02-17,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10160,2025-12-09,2025-12-26,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10161,2025-07-31,2025-08-07,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10162,2025-08-15,2025-11-30,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10163,2025-06-16,2025-08-05,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10164,2025-04-30,2025-09-19,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10165,2025-12-16,2025-12-24,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10166,2025-09-22,2025-11-10,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10167,2025-02-09,2025-06-27,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10168,2025-12-10,2025-12-31,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10169,2025-08-30,2025-09-29,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10170,2025-12-02,2025-12-10,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10171,2025-12-09,2025-12-19,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10172,2025-03-11,2025-12-22,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10173,2025-10-31,2025-12-10,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10174,2025-12-02,2025-12-14,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10175,2025-03-03,2025-12-01,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10176,2025-05-29,2025-06-13,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10177,2025-03-28,2025-06-13,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10178,2025-05-16,2025-09-12,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10179,2025-03-28,2025-04-06,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10180,2025-03-17,2025-08-18,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10181,2025-04-19,2025-05-16,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10182,2025-05-17,2025-12-01,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10183,2025-09-21,2025-11-25,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10184,2025-02-14,2025-05-27,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10185,2025-08-14,2025-10-05,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10186,2025-02-12,2025-10-01,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10187,2025-05-15,2025-09-14,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10188,2025-08-24,2025-12-01,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10189,2025-05-30,2025-08-12,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10190,2025-01-18,2025-10-20,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10191,2025-01-01,2025-07-22,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10192,2025-09-24,2025-11-02,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10193,2025-06-17,2025-07-14,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10194,2025-12-24,2025-12-28,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10195,2025-05-02,2025-06-20,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10196,2025-12-16,2025-12-23,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10197,2025-05-01,2025-10-06,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10198,2025-06-06,2025-09-29,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10199,2025-02-19,2025-05-04,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10200,2025-09-16,2025-11-28,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10201,2025-10-18,2025-11-04,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10202,2025-08-10,2025-10-07,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10203,2025-08-01,2025-08-01,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10204,2025-04-22,2025-07-13,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10205,2025-11-02,2025-12-28,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10206,2025-09-12,2025-11-13,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10207,2025-06-21,2025-09-15,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10208,2025-03-24,2025-10-09,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10209,2025-11-05,2025-11-21,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10210,2025-02-02,2025-05-24,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10211,2025-09-15,2025-11-19,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10212,2025-11-14,2025-12-31,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10213,2025-09-19,2025-11-18,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10214,2025-11-10,2025-11-29,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10215,2025-01-10,2025-01-28,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10216,2025-07-04,2025-10-31,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10217,2025-06-26,2025-09-15,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10218,2025-08-12,2025-09-19,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10219,2025-09-28,2025-11-04,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10220,2025-06-05,2025-09-07,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10221,2025-09-12,2025-09-13,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10222,2025-10-30,2025-12-10,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10223,2025-03-10,2025-12-05,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10224,2025-06-30,2025-07-10,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10225,2025-04-07,2025-05-24,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10226,2025-02-21,2025-12-30,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10227,2025-09-17,2025-12-29,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10228,2025-08-20,2025-10-20,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10229,2025-08-26,2025-12-02,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10230,2025-11-19,2025-12-16,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10231,2025-12-15,2025-12-19,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10232,2025-12-01,2025-12-24,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10233,2025-04-11,2025-07-16,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10234,2025-04-18,2025-11-07,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10235,2025-09-01,2025-10-17,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10236,2025-06-20,2025-07-05,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10237,2025-04-21,2025-07-22,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10238,2025-05-11,2025-09-12,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10239,2025-02-01,2025-03-27,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10240,2025-03-31,2025-08-27,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10241,2025-03-01,2025-11-30,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10242,2025-01-25,2025-07-06,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10243,2025-05-09,2025-12-06,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10244,2025-06-11,2025-07-05,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10245,2025-11-20,2025-12-10,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10246,2025-12-18,2025-12-18,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10247,2025-05-28,2025-11-29,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10248,2025-05-17,2025-09-10,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10249,2025-11-28,2025-12-18,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10250,2025-10-18,2025-12-28,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10251,2025-11-07,2025-11-29,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10252,2025-03-27,2025-07-11,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10253,2025-07-08,2025-07-14,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10254,2025-05-11,2025-10-15,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10255,2025-03-06,2025-09-03,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10256,2025-08-30,2025-12-12,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10257,2025-12-19,2025-12-28,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10258,2025-08-08,2025-12-14,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10259,2025-02-02,2025-10-10,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10260,2025-02-22,2025-08-21,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10261,2025-01-20,2025-05-01,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10262,2025-05-08,2025-07-29,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10263,2025-05-07,2025-09-16,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10264,2025-04-19,2025-09-29,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10265,2025-11-21,2025-11-25,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10266,2025-01-08,2025-10-26,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10267,2025-01-21,2025-06-06,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10268,2025-09-10,2025-09-23,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10269,2025-01-16,2025-11-05,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10270,2025-04-07,2025-06-23,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10271,2025-08-30,2025-09-28,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10272,2025-02-19,2025-08-21,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10273,2025-02-14,2025-09-21,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10274,2025-06-30,2025-11-13,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10275,2025-10-25,2025-11-30,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10276,2025-08-24,2025-12-20,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10277,2025-10-06,2025-10-18,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10278,2025-05-01,2025-06-12,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10279,2025-01-10,2025-05-12,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10280,2025-09-21,2025-12-02,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10281,2025-10-05,2025-10-24,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10282,2025-08-18,2025-12-31,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10283,2025-04-05,2025-05-14,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10284,2025-10-28,2025-11-26,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10285,2025-08-22,2025-09-14,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10286,2025-10-31,2025-11-04,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10287,2025-07-26,2025-10-18,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10288,2025-05-24,2025-06-20,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10289,2025-09-09,2025-11-14,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10290,2025-11-26,2025-12-17,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10291,2025-02-10,2025-07-29,Release 24.6,Q3-2025,Pagos,Digital
